province,district,source_file,animal_types,restriction_type,matched_line,context_snippet
su kısıtı olan ilçeler,,su kısıtı olan ilçeler.txt,büyükbaş,application_rejected,büyükbaş hayvancılık işletmesi tesisi için yeni yapılacak tesis müracaatlarının Toprak Koruma Kurulunda değerlendirilmesine,"| 52 | Şanlıurfa    | Viranşehir      |

büyükbaş hayvancılık işletmesi tesisi için yeni yapılacak tesis müracaatlarının Toprak Koruma Kurulunda değerlendirilmesine
gerek olmaksızın ret edilmesi"
su kısıtı olan ilçeler,,su kısıtı olan ilçeler.txt,büyükbaş,application_rejected,gerek olmaksızın ret edilmesi,"büyükbaş hayvancılık işletmesi tesisi için yeni yapılacak tesis müracaatlarının Toprak Koruma Kurulunda değerlendirilmesine
gerek olmaksızın ret edilmesi"
kapasite,,kapasite.txt,büyükbaş,application_rejected,yerinde ziyaret edilerek “Hayvancılık İşletme Kapasite Raporu” düzenlenir ve il/ilçe,"3- İl/ilçe tarım ve orman müdürlüklerince görevlendirilen veteriner hekim ve ziraat
mühendisi (zooteknist)/veteriner hekimden oluşan en az iki personel tarafından işletme
yerinde ziyaret edilerek “Hayvancılık İşletme Kapasite Raporu” düzenlenir ve il/ilçe
tarım ve orman müdürü tarafından onaylanır.
4- İl/ilçe tarım ve orman müdürlükleri, büyükbaş hayvanlar için TÜRKVET sisteminden"
kapasite,,kapasite.txt,büyükbaş,application_rejected,"4- İl/ilçe tarım ve orman müdürlükleri, büyükbaş hayvanlar için TÜRKVET sisteminden","yerinde ziyaret edilerek “Hayvancılık İşletme Kapasite Raporu” düzenlenir ve il/ilçe
tarım ve orman müdürü tarafından onaylanır.
4- İl/ilçe tarım ve orman müdürlükleri, büyükbaş hayvanlar için TÜRKVET sisteminden
aldıkları “Büyükbaş Hayvancılık İşletmesi Kapasite Raporu” boş formu ile işletmeye
gidilerek yapılan tespitler sisteme kaydedilir. Kayıt tamamlandıktan sonra imzalı formlar"
kapasite,,kapasite.txt,büyükbaş;küçükbaş,application_rejected,"1- Büyükbaş ve küçükbaş hayvancılık işletmeleri; hayvanların yetiştirilmesi, bakımı,","dahil edilir.
B) FİZİKSEL ÖZELLİKLERİNE GÖRE İŞLETME TANIMLARI
1- Büyükbaş ve küçükbaş hayvancılık işletmeleri; hayvanların yetiştirilmesi, bakımı,
beslenmesi, üretilmesi ve bu hayvanlardan ürün (et, süt vb.) elde edilen faaliyetlerinin
yürütüldüğü gerçek ve tüzel kişilere ait ticari ve/veya zatî ihtiyaç amaçlı üretim"
kapasite,,kapasite.txt,büyükbaş;küçükbaş,application_rejected,"beslenmesi, üretilmesi ve bu hayvanlardan ürün (et, süt vb.) elde edilen faaliyetlerinin","B) FİZİKSEL ÖZELLİKLERİNE GÖRE İŞLETME TANIMLARI
1- Büyükbaş ve küçükbaş hayvancılık işletmeleri; hayvanların yetiştirilmesi, bakımı,
beslenmesi, üretilmesi ve bu hayvanlardan ürün (et, süt vb.) elde edilen faaliyetlerinin
yürütüldüğü gerçek ve tüzel kişilere ait ticari ve/veya zatî ihtiyaç amaçlı üretim
birimleridir."
kapasite,,kapasite.txt,general,application_rejected,"2- Hayvancılık işletmeleri fiziksel özelliklerine göre; kapalı, yarı açık ve açık işletme olmak","yürütüldüğü gerçek ve tüzel kişilere ait ticari ve/veya zatî ihtiyaç amaçlı üretim
birimleridir.
2- Hayvancılık işletmeleri fiziksel özelliklerine göre; kapalı, yarı açık ve açık işletme olmak
üzere üç ana gruba ayrılır.
a) Kapalı İşletme: Hayvanların bakım ve beslenmesinin yapıldığı, dört tarafı duvarla"
balıkesir,çanakkale,100binlik/balıkesir-çanakkale.txt,besicilik,application_rejected,"4.18. Organize Tarım ve Hayvancılık Alanları: 4562 sayılı Organize Sanayi Bölgeleri Kanunu’na göre statü kazanmasına gerek olmaksızın; tarım ve hayvan yetiştiriciliğini destekleyen, hububat, meyve, sebze üretimi için uygun tarım alanları, meralar, mantarcılık, orman ürünleri, sebze ve çiçek yetiştiriciliği için seralar, depo veya soğuk hava deposu, mandıra vb., sadece 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu’nun 3. maddesinde tanımlanan “tarımsal yapılar” ile besicilik, süt sığırcılığı, meyvecilik, sebzecilik, seracılık, çiçekçilik vb. tarımsal üretim ve ürün işleme faaliyetlerinin bir arada yapıldığı, tek elden sevk ve idare edildiği entegre veya entegre nitelikte olmayan tarımsal amaçlı yapılar ve tarımsal sanayi tesislerinin yer alabileceği alanlardır.","4. TANIMLAR

4.18. Organize Tarım ve Hayvancılık Alanları: 4562 sayılı Organize Sanayi Bölgeleri Kanunu’na göre statü kazanmasına gerek olmaksızın; tarım ve hayvan yetiştiriciliğini destekleyen, hububat, meyve, sebze üretimi için uygun tarım alanları, meralar, mantarcılık, orman ürünleri, sebze ve çiçek yetiştiriciliği için seralar, depo veya soğuk hava deposu, mandıra vb., sadece 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu’nun 3. maddesinde tanımlanan “tarımsal yapılar” ile besicilik, süt sığırcılığı, meyvecilik, sebzecilik, seracılık, çiçekçilik vb. tarımsal üretim ve ürün işleme faaliyetlerinin bir arada yapıldığı, tek elden sevk ve idare edildiği entegre veya entegre nitelikte olmayan tarımsal amaçlı yapılar ve tarımsal sanayi tesislerinin yer alabileceği alanlardır.
4.19. Tarımsal Amaçlı Yapılar: Toprak koruma ve sulamaya yönelik altyapı tesisleri, entegre nitelikte olmayan hayvancılık ve su ürünleri üretim ve muhafaza tesisleri ile zorunlu olarak tesis edilmesi gerekli olan müştemilatı, mandıralar, üreticinin bitkisel üretime bağlı olarak elde ettiği ürünü için ihtiyaç duyacağı yeterli boyut ve hacimde depolar, un değirmeni, tarım alet ve makinelerinin muhafazasında kullanılan sundurma ve çiftlik atölyeleri, seralar, tarımsal işletmede üretilen ürünün özelliği itibarıyla hasattan sonra iki saat içinde işlenmediği takdirde ürünün kalite ve besin değeri kaybolması söz konusu ise bu ürünlerin işlenmesi için kurulan tesisler ile T.C. Gıda, Tarım ve Hayvancılık Bakanlığı tarafından tarımsal amaçlı olduğu kabul edilen, entegre nitelikte olmayan diğer tesislerdir. Gıda Tarım Hayvancılık İl Müdürlüğünce kabul edilmesi halinde soğuk hava depoları da bu yapılardan sayılır.
4.20. Tarımsal Amaçlı Entegre Tesisler: Bir veya birden fazla tarımsal işletmede üretilen bitkisel ve hayvansal ürünlerin, üretimden sonra işlenerek, fiziksel veya kimyasal özellikleri değiştirilip, yarı mamul veya mamul hale getirildiği ve/veya paketlendiği tesislerdir."
balıkesir,çanakkale,100binlik/balıkesir-çanakkale.txt,besicilik,application_rejected,"4.19. Tarımsal Amaçlı Yapılar: Toprak koruma ve sulamaya yönelik altyapı tesisleri, entegre nitelikte olmayan hayvancılık ve su ürünleri üretim ve muhafaza tesisleri ile zorunlu olarak tesis edilmesi gerekli olan müştemilatı, mandıralar, üreticinin bitkisel üretime bağlı olarak elde ettiği ürünü için ihtiyaç duyacağı yeterli boyut ve hacimde depolar, un değirmeni, tarım alet ve makinelerinin muhafazasında kullanılan sundurma ve çiftlik atölyeleri, seralar, tarımsal işletmede üretilen ürünün özelliği itibarıyla hasattan sonra iki saat içinde işlenmediği takdirde ürünün kalite ve besin değeri kaybolması söz konusu ise bu ürünlerin işlenmesi için kurulan tesisler ile T.C. Gıda, Tarım ve Hayvancılık Bakanlığı tarafından tarımsal amaçlı olduğu kabul edilen, entegre nitelikte olmayan diğer tesislerdir. Gıda Tarım Hayvancılık İl Müdürlüğünce kabul edilmesi halinde soğuk hava depoları da bu yapılardan sayılır.","4.18. Organize Tarım ve Hayvancılık Alanları: 4562 sayılı Organize Sanayi Bölgeleri Kanunu’na göre statü kazanmasına gerek olmaksızın; tarım ve hayvan yetiştiriciliğini destekleyen, hububat, meyve, sebze üretimi için uygun tarım alanları, meralar, mantarcılık, orman ürünleri, sebze ve çiçek yetiştiriciliği için seralar, depo veya soğuk hava deposu, mandıra vb., sadece 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu’nun 3. maddesinde tanımlanan “tarımsal yapılar” ile besicilik, süt sığırcılığı, meyvecilik, sebzecilik, seracılık, çiçekçilik vb. tarımsal üretim ve ürün işleme faaliyetlerinin bir arada yapıldığı, tek elden sevk ve idare edildiği entegre veya entegre nitelikte olmayan tarımsal amaçlı yapılar ve tarımsal sanayi tesislerinin yer alabileceği alanlardır.
4.19. Tarımsal Amaçlı Yapılar: Toprak koruma ve sulamaya yönelik altyapı tesisleri, entegre nitelikte olmayan hayvancılık ve su ürünleri üretim ve muhafaza tesisleri ile zorunlu olarak tesis edilmesi gerekli olan müştemilatı, mandıralar, üreticinin bitkisel üretime bağlı olarak elde ettiği ürünü için ihtiyaç duyacağı yeterli boyut ve hacimde depolar, un değirmeni, tarım alet ve makinelerinin muhafazasında kullanılan sundurma ve çiftlik atölyeleri, seralar, tarımsal işletmede üretilen ürünün özelliği itibarıyla hasattan sonra iki saat içinde işlenmediği takdirde ürünün kalite ve besin değeri kaybolması söz konusu ise bu ürünlerin işlenmesi için kurulan tesisler ile T.C. Gıda, Tarım ve Hayvancılık Bakanlığı tarafından tarımsal amaçlı olduğu kabul edilen, entegre nitelikte olmayan diğer tesislerdir. Gıda Tarım Hayvancılık İl Müdürlüğünce kabul edilmesi halinde soğuk hava depoları da bu yapılardan sayılır.
4.20. Tarımsal Amaçlı Entegre Tesisler: Bir veya birden fazla tarımsal işletmede üretilen bitkisel ve hayvansal ürünlerin, üretimden sonra işlenerek, fiziksel veya kimyasal özellikleri değiştirilip, yarı mamul veya mamul hale getirildiği ve/veya paketlendiği tesislerdir.
4.32. Tarım Alanları: 5403 sayılı Kanun kapsamında toprak, topografya ve diğer iklimsel özellikleri tarımsal üretim için uygun olup halihazırda tarımsal üretim yapılan veya yapılmaya uygun olan veya imar, ihya, ıslah edilerek tarımsal üretim yapılmaya uygun hale dönüştürülebilen alanlardır."
balıkesir,çanakkale,100binlik/balıkesir-çanakkale.txt,besicilik,application_rejected,"4.20. Tarımsal Amaçlı Entegre Tesisler: Bir veya birden fazla tarımsal işletmede üretilen bitkisel ve hayvansal ürünlerin, üretimden sonra işlenerek, fiziksel veya kimyasal özellikleri değiştirilip, yarı mamul veya mamul hale getirildiği ve/veya paketlendiği tesislerdir.","4.18. Organize Tarım ve Hayvancılık Alanları: 4562 sayılı Organize Sanayi Bölgeleri Kanunu’na göre statü kazanmasına gerek olmaksızın; tarım ve hayvan yetiştiriciliğini destekleyen, hububat, meyve, sebze üretimi için uygun tarım alanları, meralar, mantarcılık, orman ürünleri, sebze ve çiçek yetiştiriciliği için seralar, depo veya soğuk hava deposu, mandıra vb., sadece 5403 sayılı Toprak Koruma ve Arazi Kullanım Kanunu’nun 3. maddesinde tanımlanan “tarımsal yapılar” ile besicilik, süt sığırcılığı, meyvecilik, sebzecilik, seracılık, çiçekçilik vb. tarımsal üretim ve ürün işleme faaliyetlerinin bir arada yapıldığı, tek elden sevk ve idare edildiği entegre veya entegre nitelikte olmayan tarımsal amaçlı yapılar ve tarımsal sanayi tesislerinin yer alabileceği alanlardır.
4.19. Tarımsal Amaçlı Yapılar: Toprak koruma ve sulamaya yönelik altyapı tesisleri, entegre nitelikte olmayan hayvancılık ve su ürünleri üretim ve muhafaza tesisleri ile zorunlu olarak tesis edilmesi gerekli olan müştemilatı, mandıralar, üreticinin bitkisel üretime bağlı olarak elde ettiği ürünü için ihtiyaç duyacağı yeterli boyut ve hacimde depolar, un değirmeni, tarım alet ve makinelerinin muhafazasında kullanılan sundurma ve çiftlik atölyeleri, seralar, tarımsal işletmede üretilen ürünün özelliği itibarıyla hasattan sonra iki saat içinde işlenmediği takdirde ürünün kalite ve besin değeri kaybolması söz konusu ise bu ürünlerin işlenmesi için kurulan tesisler ile T.C. Gıda, Tarım ve Hayvancılık Bakanlığı tarafından tarımsal amaçlı olduğu kabul edilen, entegre nitelikte olmayan diğer tesislerdir. Gıda Tarım Hayvancılık İl Müdürlüğünce kabul edilmesi halinde soğuk hava depoları da bu yapılardan sayılır.
4.20. Tarımsal Amaçlı Entegre Tesisler: Bir veya birden fazla tarımsal işletmede üretilen bitkisel ve hayvansal ürünlerin, üretimden sonra işlenerek, fiziksel veya kimyasal özellikleri değiştirilip, yarı mamul veya mamul hale getirildiği ve/veya paketlendiği tesislerdir.
4.32. Tarım Alanları: 5403 sayılı Kanun kapsamında toprak, topografya ve diğer iklimsel özellikleri tarımsal üretim için uygun olup halihazırda tarımsal üretim yapılan veya yapılmaya uygun olan veya imar, ihya, ıslah edilerek tarımsal üretim yapılmaya uygun hale dönüştürülebilen alanlardır.
4.32.1. Mutlak Tarım Arazileri: Bitkisel üretimde; toprağın fiziksel, kimyasal ve biyolojik özelliklerinin kombinasyonu yöre ortalamasında ürün alınabilmesi için sınırlayıcı olmayan, topoğrafik sınırlamaları yok veya çok az olan; ülkesel, bölgesel veya yerel önemi bulunan, halihazırda tarımsal üretimde kullanılan veya bu amaçla kullanıma elverişli olan arazilerdir."
