province,district,area_type,restricted_besi_sigir,restricted_sut_sigir,restricted_kucukbas,restricted_kanatli,restricted_etlik_tavuk,restricted_gezen_tavuk,restricted_hindi,restricted_kaz_ordek,restricted_hara_at,restricted_pet_lab,source_file,source_line,evidence_text,note
Balıkesir,çanakkale,Koruma/Koruma Alanları;Marjinal Tarım Arazileri;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,evet,evet,evet,evet,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.20.1.7. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklemeye başvurulduğuna yönelik belgelendirilen projeye dayalı tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve 3083 sayılı Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu kapsamında Gıda, Tarım ve Hayvancılık İl Müdürlüğünce değerlendirilerek sonuçlandırılır. Desteklenen projeler dışında en az 50 büyükbaş, 100 küçükbaş ve üzeri hayvancılık kapasiteli veya 25.000 adet kanatlı hayvancılık ve üzeri kapasiteli tarımsal amaçlı yapılar da 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve 3083 sayılı Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu kapsamında Gıda, Tarım ve Hayvancılık İl Müdürlüğünce değerlendirilerek sonuçlandırılır. 8.20.1.5. Bu planda tarım alanları gösterimi altında yer alan, 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve ilgili yönetmeliği kapsamındaki tarım arazilerinin sınıflaması, ilgili kurum ya da kuruluşlarca yapılacaktır. 8.20.1.6. Fiilen sulanan ya da sulama projesi kapsamı dışında kalan Marjinal Tarım Arazilerinde, yerel kalkınmanın sağlanması için planlama bölgesinde yer alan sadece bölgeye özgü özel ürünlerin (zeytin, meyve gibi) işlenmesine yönelik küçük ölçekli tarımsal amaçlı entegre yapılar ile ürün kalitesini korumaya yönelik soğuk hava depoları Tarım, Gıda ve Hayvancılık Bakanlığı’nın vereceği izinler ve ilgili diğer kurum-kuruluşlardan alınacak görüşler doğrultusunda bu planda değişikliğe gerek olmaksızın yapılabilir. Küçük ölçekli tarımsal amaçlı entegre yapı yapılacak parsellerin en az 20.000 m² büyüklüğe sahip olmaları gerekmekte olup Maks. Emsal= 0.10’dur. Parselin tamamı için toplam inşaat alanı 5.000 m²’yi geçemez. Soğuk hava depoları yapılacak parsellerin ise en az 5.000 m² büyüklüğe sahip olmaları gerekmekte olup Maks. Emsal= 0.10’dur. Parselin tamamı için toplam inşaat alanı 2.000 m²’yi geçemez. 8.20.1.7. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklemeye başvurulduğuna yönelik belgelendirilen projeye dayalı tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve 3083 sayılı Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu kapsamında Gıda, Tarım ve Hayvancılık İl Müdürlüğünce değerlendirilerek sonuçlandırılır. Desteklenen projeler dışında en az 50 büyükbaş, 100 küçükbaş ve üzeri hayvancılık kapasiteli veya 25.000 adet kanatlı hayvancılık ve üzeri kapasiteli tarımsal amaçlı yapılar da 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve 3083 sayılı Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu kapsamında Gıda, Tarım ve Hayvancılık İl Müdürlüğünce değerlendirilerek sonuçlandırılır. 8.20.1.8. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanununda tanımlanan tarım arazilerinden fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde; bu planın, Organize Tarım ve Hayvancılık Alanları hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde öncelikle Gıda, Tarım ve Hayvancılık Bakanlığı ile Orman ve Su İşleri Bakanlığı’ndan ve ilgili diğer kurum ve kuruluşlardan uygun görüş alınması kaydıyla tarımsal amaçlı yapılar yapılabilir. 8.20.1.9. Fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu plan hükümlerinin 8.20.1.7 numaralı maddesinde tanımlanan emsal artışı yapılamaz.",
Balıkesir,çanakkale,Koruma/Koruma Alanları;Marjinal Tarım Arazileri;Organize Tarım/Hayvancılık Alanları;Sulama Alanları;Özel Ürün Arazileri,evet,evet,evet,evet,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.20.1.8. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanununda tanımlanan tarım arazilerinden fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde; bu planın, Organize Tarım ve Hayvancılık Alanları hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde öncelikle Gıda, Tarım ve Hayvancılık Bakanlığı ile Orman ve Su İşleri Bakanlığı’ndan ve ilgili diğer kurum ve kuruluşlardan uygun görüş alınması kaydıyla tarımsal amaçlı yapılar yapılabilir. 8.20.1.6. Fiilen sulanan ya da sulama projesi kapsamı dışında kalan Marjinal Tarım Arazilerinde, yerel kalkınmanın sağlanması için planlama bölgesinde yer alan sadece bölgeye özgü özel ürünlerin (zeytin, meyve gibi) işlenmesine yönelik küçük ölçekli tarımsal amaçlı entegre yapılar ile ürün kalitesini korumaya yönelik soğuk hava depoları Tarım, Gıda ve Hayvancılık Bakanlığı’nın vereceği izinler ve ilgili diğer kurum-kuruluşlardan alınacak görüşler doğrultusunda bu planda değişikliğe gerek olmaksızın yapılabilir. Küçük ölçekli tarımsal amaçlı entegre yapı yapılacak parsellerin en az 20.000 m² büyüklüğe sahip olmaları gerekmekte olup Maks. Emsal= 0.10’dur. Parselin tamamı için toplam inşaat alanı 5.000 m²’yi geçemez. Soğuk hava depoları yapılacak parsellerin ise en az 5.000 m² büyüklüğe sahip olmaları gerekmekte olup Maks. Emsal= 0.10’dur. Parselin tamamı için toplam inşaat alanı 2.000 m²’yi geçemez. 8.20.1.7. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklemeye başvurulduğuna yönelik belgelendirilen projeye dayalı tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve 3083 sayılı Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu kapsamında Gıda, Tarım ve Hayvancılık İl Müdürlüğünce değerlendirilerek sonuçlandırılır. Desteklenen projeler dışında en az 50 büyükbaş, 100 küçükbaş ve üzeri hayvancılık kapasiteli veya 25.000 adet kanatlı hayvancılık ve üzeri kapasiteli tarımsal amaçlı yapılar da 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve 3083 sayılı Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu kapsamında Gıda, Tarım ve Hayvancılık İl Müdürlüğünce değerlendirilerek sonuçlandırılır. 8.20.1.8. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanununda tanımlanan tarım arazilerinden fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde; bu planın, Organize Tarım ve Hayvancılık Alanları hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde öncelikle Gıda, Tarım ve Hayvancılık Bakanlığı ile Orman ve Su İşleri Bakanlığı’ndan ve ilgili diğer kurum ve kuruluşlardan uygun görüş alınması kaydıyla tarımsal amaçlı yapılar yapılabilir. 8.20.1.9. Fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu plan hükümlerinin 8.20.1.7 numaralı maddesinde tanımlanan emsal artışı yapılamaz. 8.20.1.10. Tarım alanlarında yapılacak tarımsal amaçlı yapılar için bu plan ile verilmiş olan yapılanma koşulları aşılmamak kaydıyla, 3194 sayılı İmar Kanunu “Plansız Alanlar İmar Yönetmeliği”nin 6. Bölümünde belirtilen esaslara uyulur.",
Balıkesir,çanakkale,Koruma/Koruma Alanları;Organize Tarım/Hayvancılık Alanları;Sulama Alanları,evet,evet,evet,evet,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.20.1.9. Fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu plan hükümlerinin 8.20.1.7 numaralı maddesinde tanımlanan emsal artışı yapılamaz. 8.20.1.7. Başbakanlık, Gıda, Tarım ve Hayvancılık Bakanlığı, ilgili bakanlıklar ve bunların bağlı kuruluşları tarafından desteklemeye başvurulduğuna yönelik belgelendirilen projeye dayalı tarımsal amaçlı yapılar (tarımsal kalkınma kooperatiflerince uygulanan projeler, üretici birlikleri/kooperatifleri tarafından uygulanan projeler, Avrupa Birliği kaynaklı projeler, Dünya Bankası destekli projeler, sosyal riski azaltma projesi kapsamında uygulanacak projeler gibi) 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve 3083 sayılı Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu kapsamında Gıda, Tarım ve Hayvancılık İl Müdürlüğünce değerlendirilerek sonuçlandırılır. Desteklenen projeler dışında en az 50 büyükbaş, 100 küçükbaş ve üzeri hayvancılık kapasiteli veya 25.000 adet kanatlı hayvancılık ve üzeri kapasiteli tarımsal amaçlı yapılar da 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanunu ve 3083 sayılı Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu kapsamında Gıda, Tarım ve Hayvancılık İl Müdürlüğünce değerlendirilerek sonuçlandırılır. 8.20.1.8. 5403 sayılı Toprak Koruma ve Arazi Kullanımı Kanununda tanımlanan tarım arazilerinden fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde; bu planın, Organize Tarım ve Hayvancılık Alanları hükmü çerçevesinde ilgili idarelerce yapılacak olan uygulamalar haricinde öncelikle Gıda, Tarım ve Hayvancılık Bakanlığı ile Orman ve Su İşleri Bakanlığı’ndan ve ilgili diğer kurum ve kuruluşlardan uygun görüş alınması kaydıyla tarımsal amaçlı yapılar yapılabilir. 8.20.1.9. Fiilen sulanan veya sulama projesi kapsamında kalan tarım arazilerinde bu plan hükümlerinin 8.20.1.7 numaralı maddesinde tanımlanan emsal artışı yapılamaz. 8.20.1.10. Tarım alanlarında yapılacak tarımsal amaçlı yapılar için bu plan ile verilmiş olan yapılanma koşulları aşılmamak kaydıyla, 3194 sayılı İmar Kanunu “Plansız Alanlar İmar Yönetmeliği”nin 6. Bölümünde belirtilen esaslara uyulur. 8.20.1.11. Bu planın onayından önce yürürlükteki mevzuat uyarınca inşaat ruhsatı veya yapı kullanma izni verilmiş olan tarımsal amaçlı yapılara ilişkin haklar saklıdır.",
Balıkesir,çanakkale,Mutlak Tarım Arazileri,,,,,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.20.1.18. Tarımsal amaçlı faaliyetin gerektirdiği (hayvancılık, seracılık gibi) çiftçinin barınabileceği yapılar ve müştemilatları dışında tarım alanlarında barınma amaçlı yapılara izin verilmez. 8.20.1.16. Tarımsal amaçlı yapılar kullanım amacı dışında kullanılamaz ve dönüştürülemez. 8.20.1.17. Tarım arazisi olarak gösterilmiş alanlarda, mera vasıflı alanlar bulunması durumunda, bu alanlarda bu planın mera alanları başlığı altındaki plan hükümleri doğrultusunda uygulama yapılır. 8.20.1.18. Tarımsal amaçlı faaliyetin gerektirdiği (hayvancılık, seracılık gibi) çiftçinin barınabileceği yapılar ve müştemilatları dışında tarım alanlarında barınma amaçlı yapılara izin verilmez. 8.20.1.19. Mutlak Tarım Arazileri Bu alanlarda; tarımsal amaçlı yapılar yapılabilir. Tarımsal amaçlı yapılar için Maks. Emsal = 0,05’dir. Parselin tamamı için maksimum inşaat alanı 2000 m²’yi geçemez.",
Balıkesir,çanakkale,Sulama Alanları,,,,,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.20.2.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Gıda Tarım ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 8.20.2.1. Bu arazilerde, ilgili kanun kapsamında yapılan/yapılacak uygulamalarda bu plan kararlarına uyulacaktır. 8.20.2.2. Yapılacak ifrazlarda 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu ve ilgili yönetmelik hükümleri uyarınca işlem yapılacaktır. 8.20.2.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Gıda Tarım ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 8.20.2.4. Bu arazilerde; tarımsal amaçlı yapı ile çiftçinin barınabileceği yapı ve müştemilatları dışında yapı yapılamaz. Çiftçinin barınabileceği yapı emsale dahil olup inşaat alanı 75 m²’yi geçemez. Tarımsal amaçlı yapı yapılacak parsellerin 5.000 m²’ye kadar büyüklüğe sahip olanları için Maks. Emsal: 0,10’dur. 5.000 m² den büyük parsellerde ise geri kalan parsel alanı için Maks. Emsal: 0,05’dir. Parselin tamamı için toplam inşaat alanı 2.500 m²’yi geçemez. 8.20.2.5. Tarımsal faaliyetin gerektirdiği (hayvancılık, seracılık..vb.) çiftçinin barınabileceği yapı haricinde barınma amaçlı yapı yapılamaz.",
Balıkesir,çanakkale,Sulama Alanları,,,,,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.20.2.4. Bu arazilerde; tarımsal amaçlı yapı ile çiftçinin barınabileceği yapı ve müştemilatları dışında yapı yapılamaz. Çiftçinin barınabileceği yapı emsale dahil olup inşaat alanı 75 m²’yi geçemez. Tarımsal amaçlı yapı yapılacak parsellerin 5.000 m²’ye kadar büyüklüğe sahip olanları için Maks. Emsal: 0,10’dur. 5.000 m² den büyük parsellerde ise geri kalan parsel alanı için Maks. Emsal: 0,05’dir. Parselin tamamı için toplam inşaat alanı 2.500 m²’yi geçemez. 8.20.2.2. Yapılacak ifrazlarda 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu ve ilgili yönetmelik hükümleri uyarınca işlem yapılacaktır. 8.20.2.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Gıda Tarım ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 8.20.2.4. Bu arazilerde; tarımsal amaçlı yapı ile çiftçinin barınabileceği yapı ve müştemilatları dışında yapı yapılamaz. Çiftçinin barınabileceği yapı emsale dahil olup inşaat alanı 75 m²’yi geçemez. Tarımsal amaçlı yapı yapılacak parsellerin 5.000 m²’ye kadar büyüklüğe sahip olanları için Maks. Emsal: 0,10’dur. 5.000 m² den büyük parsellerde ise geri kalan parsel alanı için Maks. Emsal: 0,05’dir. Parselin tamamı için toplam inşaat alanı 2.500 m²’yi geçemez. 8.20.2.5. Tarımsal faaliyetin gerektirdiği (hayvancılık, seracılık..vb.) çiftçinin barınabileceği yapı haricinde barınma amaçlı yapı yapılamaz. 8.20.2.6. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu kapsamı dışına çıkarılması durumunda, bu arazilerde, 8.20.1. başlıklı plan hükümlerine uyulacaktır.",
Balıkesir,çanakkale,Sulama Alanları,,,,,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.20.2.5. Tarımsal faaliyetin gerektirdiği (hayvancılık, seracılık..vb.) çiftçinin barınabileceği yapı haricinde barınma amaçlı yapı yapılamaz. 8.20.2.3. Bu arazilerin tarımsal üretim amaçlı korunması esastır. Uygulama alanlarında, imar planları ve mücavir alanlar dışında kalan ve Sulama Alanlarında Arazi Düzenlenmesine Dair Tarım Reformu Kanunu Uygulama Yönetmeliği hükümlerine göre, sahibine bırakılan, dağıtılan veya T.C. Gıda Tarım ve Hayvancılık Bakanlığı’nın emrine geçen tarım arazisi, tarım dışı amaçla kullanılamaz. 8.20.2.4. Bu arazilerde; tarımsal amaçlı yapı ile çiftçinin barınabileceği yapı ve müştemilatları dışında yapı yapılamaz. Çiftçinin barınabileceği yapı emsale dahil olup inşaat alanı 75 m²’yi geçemez. Tarımsal amaçlı yapı yapılacak parsellerin 5.000 m²’ye kadar büyüklüğe sahip olanları için Maks. Emsal: 0,10’dur. 5.000 m² den büyük parsellerde ise geri kalan parsel alanı için Maks. Emsal: 0,05’dir. Parselin tamamı için toplam inşaat alanı 2.500 m²’yi geçemez. 8.20.2.5. Tarımsal faaliyetin gerektirdiği (hayvancılık, seracılık..vb.) çiftçinin barınabileceği yapı haricinde barınma amaçlı yapı yapılamaz. 8.20.2.6. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu kapsamı dışına çıkarılması durumunda, bu arazilerde, 8.20.1. başlıklı plan hükümlerine uyulacaktır. 8.20.2.7. Bu alanlarda bu planın 8.20.1.7 numaralı maddesinde tanımlanan emsal artışı yapılamaz.",
Balıkesir,çanakkale,Sulama Alanları,,,,,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.20.2.7. Bu alanlarda bu planın 8.20.1.7 numaralı maddesinde tanımlanan emsal artışı yapılamaz. 8.20.2.5. Tarımsal faaliyetin gerektirdiği (hayvancılık, seracılık..vb.) çiftçinin barınabileceği yapı haricinde barınma amaçlı yapı yapılamaz. 8.20.2.6. 3083 sayılı Sulama Alanlarında Arazi Düzenlemesine Dair Tarım Reformu Kanunu kapsamı dışına çıkarılması durumunda, bu arazilerde, 8.20.1. başlıklı plan hükümlerine uyulacaktır. 8.20.2.7. Bu alanlarda bu planın 8.20.1.7 numaralı maddesinde tanımlanan emsal artışı yapılamaz.  8.21. ORGANİZE TARIM VE HAYVANCILIK ALANLARI",
Balıkesir,çanakkale,Koruma/Koruma Alanları,,,,,,,,,,evet,100binlik/balıkesir-çanakkale.txt,,"8.21. ORGANİZE TARIM VE HAYVANCILIK ALANLARI 8.20.2.7. Bu alanlarda bu planın 8.20.1.7 numaralı maddesinde tanımlanan emsal artışı yapılamaz.  8.21. ORGANİZE TARIM VE HAYVANCILIK ALANLARI 8.21.1. Bu alanlar içerisinde; tarımsal amaçlı yapılar ile hububat, meyve ve sebze üretimi için uygun tarım alanları, sebze ve çiçek yetiştiriciliği için seralar, mantarcılık, hayvancılık ve et entegre tesisleri, otlaklar, tarımsal işletmeler, tarımsal ürün işleme ve paketleme tesisleri, meyve işleme tesisleri, soğuk hava depoları, yem depoları, tarımsal işletmelerinin ön arıtma ya da toplu arıtma tesisleri, organik atıkların geri dönüşüm tesisleri, hayvan klinikleri, kireçli ölü hayvan gömü çukurları, tarımsal araç-gereç parkları, tarımsal ürün toplama, depolama, saklama ve pazarlama hizmetleri, ürün borsası, tarımsal eğitim merkezleri, tarım ve hayvancılığa yönelik Ar-Ge ve laboratuvar alanları gibi Gıda, Tarım ve Hayvancılık Bakanlığının bölge stratejisine uygun görüş verdiği tesisler ile çalışanların ihtiyacına yönelik sosyal ve kültürel donatı alanları, ihtiyaçlara ve planlama ilkelerine uygun şekilde toplu olarak (organize şekilde) yer alacaktır. 8.21.2. Bu alandaki yapılanma koşulları alt ölçekli planlarda belirlenecektir. Bu planda gösterilenlerin dışında ihtiyaç olması halinde tarım ve hayvancılığın desteklenmesine yönelik olarak en az 20 ha. olacak şekilde, ilgili kurum ve kuruluş görüşlerine bağlı olarak, ilgili İl Toprak Koruma Kurulu marifetiyle en az 20 (yirmi) hektarlık alan için yer seçimi yapılabilir. Yer seçimi yapılan alanlara ilişkin imar planı yapılmasının gerekli olduğu durumlarda, imar planları bu planda değişikliğe gerek olmaksızın ilgili idaresince hazırlanır ve onaylanır. Onaylanan planlar sayısal ortamda veri tabanına işlenmek üzere Bakanlığa gönderilir. Bu alanlara ilişkin yapılaşma koşulları, tesis türleri, teknoloji ve yöresel özellikler dikkate alınarak imar planlarında belirlenecektir.",
Balıkesir,çanakkale,Özel Ürün Arazileri,,,,,,,,,,,100binlik/balıkesir-çanakkale.txt,,"8.41.7. Kentsel Tasarım Rehberinde; tarım alanlarında doğal zemin yapısının ve bitki örtüsünün bozulmasını önleyici tedbirler ile tarım arazilerinin korunmasına yönelik özel hükümlerin oluşturulması zorunludur. Tarım arazilerinin sürdürülebilirliğini sağlamak üzere; barınma amaçlı yapı yapılmasına izin verilmez. Bu alanlardaki diğer yapılaşma koşulları ise, bu planın tarım alanlarına ilişkin yapılaşma koşulları aşılmamak üzere, hazırlanacak kentsel tasarım rehberleri ile belirlenecektir. 8.41. BOZCAADA VE GÖKÇEADA İLÇELERİ - ÖZEL HÜKÜMLER 8.41.7. Kentsel Tasarım Rehberinde; tarım alanlarında doğal zemin yapısının ve bitki örtüsünün bozulmasını önleyici tedbirler ile tarım arazilerinin korunmasına yönelik özel hükümlerin oluşturulması zorunludur. Tarım arazilerinin sürdürülebilirliğini sağlamak üzere; barınma amaçlı yapı yapılmasına izin verilmez. Bu alanlardaki diğer yapılaşma koşulları ise, bu planın tarım alanlarına ilişkin yapılaşma koşulları aşılmamak üzere, hazırlanacak kentsel tasarım rehberleri ile belirlenecektir. 8.41.8. Yerel kalkınmanın sağlanabilmesi için, tarım alanlarında yer alan zeytin, üzüm gibi özel ürünlerin işlenmesine yönelik küçük ölçekli tarımsal amaçlı entegre tesisler; tarımsal faaliyetin bütünlüğünü bozmadan, kentsel tasarım rehberinde bu yapılaşmalara ilişkin belirlenecek koşullar ile Gıda, Tarım ve Hayvancılık Bakanlığı’nın vereceği izinler doğrultusunda yapılabilir.",
