province,district,plant,start_month,start_day,end_month,end_day
ADANA,ALADAĞ,Geven,7,1,8,30
ADANA,ALADAĞ,Hartlap,3,5,4,22
ADANA,ALADAĞ,Kekik,7,10,8,20
ADANA,ALADAĞ,Püren,9,1,11,28
ADANA,ALADAĞ,Yayla Çayı,7,20,8,25
ADANA,ALADAĞ,Üçgül,4,3,5,28
ADANA,CEYHAN,Ayçiçeği,5,15,6,15
ADANA,CEYHAN,Erik,2,20,3,30
ADANA,CEYHAN,Kayısı,2,20,3,20
ADANA,CEYHAN,Limon,3,1,4,30
ADANA,CEYHAN,Mandarin,3,1,4,30
ADANA,CEYHAN,Nektarin,2,20,3,20
ADANA,CEYHAN,Portakal,3,1,4,30
ADANA,CEYHAN,Şeftali,2,20,3,20
ADANA,FEKE,Akasya(Nektar) Bölgesel,4,15,5,1
ADANA,FEKE,Ayçiçeği,5,10,6,15
ADANA,FEKE,Geven(Nektar) Yaygın,7,1,7,30
ADANA,FEKE,Göknar(Mezla) Ağacı(Nektar) Yaygın,6,1,7,15
ADANA,FEKE,Karaçalı(Nektar) Bölgesel,5,15,5,30
ADANA,FEKE,Kiraz(Polen) Bölgesel,4,1,4,25
ADANA,KARAISALI,Ormanlık Alanlarda,10,1,1,30
ADANA,KARAISALI,Sakarca,8,1,10,20
ADANA,KARAISALI,Çeti,5,5,8,30
ADANA,KARATAŞ,AYÇİÇEĞİ,5,15,8,1
ADANA,KARATAŞ,Mısır,6,10,8,1
ADANA,KARATAŞ,Narenciye,4,1,5,10
ADANA,KARATAŞ,Nektarin,2,20,3,15
ADANA,KARATAŞ,ORMAN,1,1,12,31
ADANA,KARATAŞ,Okaliptüs,4,20,5,20
ADANA,KARATAŞ,Pamuk,7,10,8,1
ADANA,KARATAŞ,PÜREN,9,1,12,1
ADANA,KARATAŞ,Soya,6,10,7,10
ADANA,KARATAŞ,Çam,4,1,5,1
ADANA,KOZAN,Akasya,2,1,6,1
ADANA,KOZAN,Altıntop,4,1,5,1
ADANA,KOZAN,Ayçiçeği,6,1,10,1
ADANA,KOZAN,Defne,4,1,6,1
ADANA,KOZAN,Kayısı,2,1,6,1
ADANA,KOZAN,Keçiboynuzu,9,1,11,1
ADANA,KOZAN,Kiraz,4,1,5,1
ADANA,KOZAN,Limon,4,1,5,1
ADANA,KOZAN,Mandalin,3,1,6,1
ADANA,KOZAN,Misir,6,1,11,1
ADANA,KOZAN,Nar,4,1,9,1
ADANA,KOZAN,Nektarin,2,1,6,1
ADANA,KOZAN,Portakal,4,1,5,1
ADANA,KOZAN,Püren,10,1,12,1
ADANA,KOZAN,Soya,5,1,6,1
ADANA,KOZAN,Trabzon Hurması,6,1,8,1
ADANA,KOZAN,Yer Fıstığı,5,1,6,1
ADANA,KOZAN,Zeytin,4,1,7,1
ADANA,KOZAN,Şeftali,2,1,6,1
ADANA,POZANTI,Ayı Dikeni,6,25,8,15
ADANA,POZANTI,Badem,4,1,4,18
ADANA,POZANTI,Boğa Dikeni,6,25,8,15
ADANA,POZANTI,Deve Dikeni,6,25,8,15
ADANA,POZANTI,Elma,3,22,6,7
ADANA,POZANTI,Kekik,4,10,6,10
ADANA,POZANTI,Keven,4,25,8,15
ADANA,POZANTI,Kiraz,4,13,6,5
ADANA,POZANTI,Püren,7,15,8,30
ADANA,POZANTI,Tespih Çiçeği,5,1,5,20
ADANA,SAIMBEYLI,Keven,7,15,8,15
ADANA,SAIMBEYLI,Kiraz,4,20,5,20
ADANA,SAIMBEYLI,Sedir,5,15,6,1
ADANA,SARIÇAM,Ayçiçeği,5,1,8,1
ADANA,SARIÇAM,Badem,3,15,4,15
ADANA,SARIÇAM,Bezelye/Baklagil,3,1,5,1
ADANA,SARIÇAM,Erik,3,15,4,15
ADANA,SARIÇAM,Fiğ/Yonca,3,1,5,1
ADANA,SARIÇAM,Harnup,9,1,11,1
ADANA,SARIÇAM,Kayısı,3,15,4,15
ADANA,SARIÇAM,Kekik,4,1,6,1
ADANA,SARIÇAM,Lavanta,3,1,4,1
ADANA,SARIÇAM,Nektarin/Şeftali,3,15,4,15
ADANA,SARIÇAM,Patates,4,15,6,1
ADANA,SARIÇAM,Soya,6,15,8,15
ADANA,SARIÇAM,Turunçgil,4,1,5,1
ADANA,SARIÇAM,Yeni Dünya,3,1,4,1
ADANA,SARIÇAM,Çilek,3,1,9,1
ADANA,SEYHAN,BozotU,6,1,7,30
ADANA,SEYHAN,Böğürtlen,6,1,7,1
ADANA,SEYHAN,Narenciye,3,15,4,30
ADANA,SEYHAN,Okaliptus,5,15,6,30
ADANA,SEYHAN,Okaliptus,10,1,11,30
ADANA,SEYHAN,Pamuk,7,15,9,15
ADANA,SEYHAN,Susam,8,1,8,30
ADANA,SEYHAN,Çeti Dikeni,6,1,6,30
ADANA,SEYHAN,Üçgül,4,1,5,30
ADANA,TUFANBEYLI,Aliç,4,15,9,15
ADANA,TUFANBEYLI,Ayrık Otu,4,15,9,15
ADANA,TUFANBEYLI,Dağ Armudu,4,15,9,15
ADANA,TUFANBEYLI,Fiğ,4,15,9,15
ADANA,TUFANBEYLI,Kantaron,4,15,9,15
ADANA,TUFANBEYLI,Kekik,4,15,9,15
ADANA,TUFANBEYLI,Keven,4,15,9,15
ADANA,TUFANBEYLI,Korunga,4,15,9,15
ADANA,TUFANBEYLI,Kuşburnu,4,15,9,15
