                                   ÇANKIRI
Merkez- İlçe                              Ciçeklenme         Çiçeklenme
               Majör(yaygın )Bitki Adı
Adı                                       Başlangıç Tarihi   Bitiş Tarihi
               Meyva türleri, Kuşburnu,
               Ihlamur                    1 Nisan            1 Haziran
               Kızılcık                   1 Mart             1 Nisan
               İğde, Akasya               15 Mayıs           15 Haziran
               Ahlat                      15 Nisan           1 Haziran
               Alıç                       15 Mayıs           1 Temmuz
               Hardal                     10 Mart            1 Mayıs
               Geven                      1 Haziran          15 Temmuz
               Kırkekiği                  30 Mayıs           15 Ağustos
               Isırgan                    30 Nisan           15 Haziran
               Fiğ                        30 Nisan           15 Mayıs
               Ballıbaba                  10 Nisan           15 Mayıs
Merkez         Sıgırkuyrugu               30 Mayıs           15 Temmuz
               Korunga                    30 Mayıs           1 Ağustos
               Kavun, Karpuz              30 Mayıs           1 Temmuz
               Ayçiçeğ                    30 Mayıs           20 Temmuz
               Adaçayı, Üçgül             1 Nisan            1 Ağustos
               Bögürtlen                  1 Mayıs            10 Temmuz
               Çiğdem                     1 Mart             1 Mayıs
               Deve dikeni                1 Temmuz           1 Eylül
               Kıryoncası                 1 Mayıs            1 Ağustos
               Sögüt                      1 Nisan            20 Mayıs
               Sütlegen                   1 Nisan            1 Eylül
               karaçalı                   30 Nisan           1 Haziran
               Sebze çeşitleri            30 Mayıs           1 Ekim
               Meyva türleri              15 Nisan           20 Haziran
               Kuşburnu                   10 Nisan           1 Mayıs
               Ahlat, Akasya              15 Nisan           1 Haziran
               Alıç                       25 Mayıs           10 Temmuz
               Hardal                     10 Mart            15 Haziran
               Geven                      20 Haziran         1 Eylül
               Kırkekiği, Korunga         30 Mayıs           1 Eylül
Atkaracalar
               Isırgan , Ballıbaba        30 Nisan           15 Haziran
               Fiğ                        30 Nisan           15 Mayıs
               Sıgırkuyrugu               30 Mayıs           15 Temmuz
               Bögürtlen                  1 Mayıs            10 Temmuz
               Çiğdem                     15 Mart            1 Mayıs
               Deve dikeni                1 Temmuz           1 Eylül
               Kıryoncası                 1 Mayıs            1 Ağustos
             Sögüt                    1 Nisan      1 Mayıs
             Sütlegen, üçgül          1 Nisan      1 Eylül
             Sebze çeşitleri          30 Mayıs     1 Ekim
             Meyva türleri, Adaçayı   1 Nisan      20 Haziran
             Kızılcık, Çiğdem         1 Mart       1 Nisan
             Kuşburnu                 1 Nisan      1 Haziran
             Ahlat, Akasya            15 Nisan     1 Haziran
             Alıç,Bögürtlen           1 Mayıs      10 Temmuz
             Hardal                   10 Mart      15 Haziran
             Geven                    1 Haziran    1 Eylül
Bayramören   Kırkekiği                30 Mayıs     1 Eylül
             Isırgan, Ballıbaba       30 Nisan     15 Haziran
             Sıgırkuyrugu             30 Mayıs     15 Temmuz
             Deve dikeni              1 Temmuz     1 Eylül
             Kıryoncası               1 Mayıs      1 Ağustos
             Sögüt                    1 Nisan      1 Mayıs
             Sütlegen, Üçgül          1 Nisan      1 Eylül
             Sebze çeşitleri          30 Mayıs     1 Ekim
             Meyva türleri            30 Nisan     20 Haziran
             Kuşburnu, Ihlamur        10 Nisan     1 Haziran
             Ahlat, Akasya            15 Nisan     1 Haziran
             Alıç, Bögürtlen          1 Mayıs      10 Temmuz
             Hardal                   10 Mart      15 Haziran
             Geven                    30 Haziran   1 Ağustos
             Kırkekiği, korunga       30 Mayıs     1 Ağustos
             Isırgan , ballıbaba      30 Nisan     15 Haziran
Çerkeş
             Fiğ                      30 Nisan     15 Mayıs
             sıgırkuyrugu             30 Mayıs     15 Temmuz
             Adaçayı, Kıryoncası      1 Mayıs      1 Ağustos
             çiğdem, Sögüt            1 Nisan      1 Mayıs
             Deve dikeni              1 Temmuz     1 Eylül
             Sütlegen, üçgül          15 Nisan     1 Eylül
             karaçalı                 30 Nisan     1 Ağustos
             Sebze çeşitleri          30 Mayıs     1 Ekim
             Meyva türleri            1 Nisan      20 Haziran
             Kızılcık, çiğdem         1 Mart       1 Nisan
             Kuşburnu, Ihlamur        1 Nisan      1 Haziran
             iğde                     15 Mayıs     15 Haziran
Eldivan      Ahlat, Akasya            15 Nisan     1 Haziran
             Alıç, Bögürtlen          1 Mayıs      10 Temmuz
             Hardal                   10 Mart      15 Haziran
             Geven                    10 Haziran   1 Ağustos
             Kırkekiği, korunga       30 Mayıs     1 Ağustos
              ısırgan                   30 Nisan     15 Haziran
              fiğ , ballıbaba           30 Nisan     15 Mayıs
             sıgırkuyrugu               30 Mayıs     15 Temmuz
             Adaçayı                    1 Nisan      1 Ağustos
             Deve dikeni                1 Temmuz     1 Eylül
             Kıryoncası                 1 Mayıs      1 Ağustos
             Sögüt                      1 Nisan      1 Mayıs
             sütlegen, üçgül            1 Nisan      1 Eylül
             karaçalı                   1 Nisan      1 Temmuz
             Sebze çeşitleri            30 Mayıs     1 Ekim
             Meyva türleri              1 Nisan      20 Haziran
             Kızılcık, çiğdem           1 Mart       1 Nisan
