                              AFYONKARAHİSAR
Merkez- İlçe                                  Çiçeklenme         Çiçeklenme
             Majör(yaygın) Bitki Adı
Adı                                           Başlangıç Tarihi   Bitiş Tarihi
             Erik, Badem                      15 Mart            15 Nisan
             Vişne ,Kiraz                     10 Nisan           10 Mayıs
             Elma                             20 Nisan           10 Mayıs
             Ahlat                            20 Nisan           20 Mayıs
             Efekt, Kekik                     15 Haziran         30 Haziran
             Geven                            01 Temmuz          30 Haziran
             Ballıbaba                        15 Nisan           15 Mayıs
Merkez
             Sığır Kuyruğu                    15 Temmuz          15 Ağustos
             Böğürlern                        01 Ağustos         1 Eylül
             İt Burnu                         20 Temmuz          10 Ağustos
             Davşanak Pinar                   15 Haziran         15 Temmuz
             Hardal Turp Otu,Haşhaş,Kestane   5 Mayıs            5 Haziran
             Ayçiçek                          01 Temmuz          20 Temmuz
             Akasya                           01 Mayıs           01 Haziran
             Erik,Badem                       15 Mart            15 Nisan
             Vişne , Kiraz                    10 Nisan           10 Mayıs
             Elma                             20 Nisan           10 Mayıs
             Ahlat                            20 Nisan           20 Mayıs
             Efekt                            15 Haziran         30 Haziran
             Kekik                            1 Haziran          20 Haziran
             Geven                            15 Mayıs           15 Haziran
             Ballıbaba                        5 Nisan            5 Mayıs
             Sığır Kuyruğu, İt Burnu          1 Temmuz           1 Ağustos
Başmakçı
             Gül (Yağlık)                     15 Nisan           5 Haziran
             Gelincik Otu, Hardal Turp
             Otu,Haşhaş                       5 Mayıs            5 Haziran
             Ayçiçek                          20 Haziran         5 Temmuz
             Akasya                           01 Mayıs           01 Haziran
             Kornişon Hıyar                   01 Temmuz          30 Ekim
             Civanperçemi Otu                 15 Mayıs           15 Temmuz
             Hardal Otu                       05 Mayıs           15 Haziran
             Yabani Fiğ                       15 Nisan           15 Haziran
             Erik,Badem                       15 Mart            15 Nisan
             Vişne ,Kiraz                     10 Nisan           10 Mayıs
             Efekt,Kekik                      15 Haziran         30 Haziran
             Geven                            01 Temmuz          30 Haziran
Bayat        Ballıbaba                        15 Nisan           15 Mayıs
             Sığır Kuyruğu,Boğa Dikeni        15 Temmuz          15 Ağustos
             Böğürtlen                        01 Ağustos         1 Eylül
             İt Burnu                         20 Temmuz          10 Ağustos
             Davşanak Pinar                   15 Haziran         15 Temmuz
            Hardal Turp Otu         5 Mayıs      5 Haziran
           Haşhas                   15 Mayıs     15 Haziran
           Ayçiçek                  01 Temmuz    20 Temmuz
           Akasya                   01 Mayıs     01 Haziran
           Boz Ot                   15 Temmuz    30 Ağustos
           Macar Fiği               01 Mayıs     15 Haziran
           Erik,Badem               25 Mart      25 Nisan
           Vişne ,Kiraz             15 Nisan     15 Mayıs
           Elma                     20 Nisan     10 Mayıs
           Ahlat                    20 Nisan     20 Mayıs
           Efekt                    20 Haziran   10 Temmuz
           Kekik                    25 Haziran   10 Temmuz
           Geven                    01 Temmuz    30 Haziran
           Ballıbaba                25 Nisan     25 Mayıs
Bolvadin   Sığır Kuyruğu            30 Temmuz    30 Ağustos
           Böğürtlen                15 Haziran   20 Ağustos
           İt Burnu                 20 Temmuz    10 Ağıstos
           Davşanak Pinar           20 Haziran   15 Temmuz
            Hardal Turp Otu         5 Mayıs      5 Haziran
           Haşhas                   15 Mayıs     15 Haziran
           Ayçiçek                  01 Temmuz    20 Temmuz
           Akasya                   01 Mayıs     01 Haziran
           Kestane                  20 Mayıs     20 Temmuz
           Badem                    15 Mart      30 Nisan
           Kiraz                    1 Nisan      1 Mayıs
           Elma,Ballıbaba           15 Nisan     15 Mayıs
           Kekik,Lavanta            1 Haziran    1 Temmuz
Dazkırı
           Geven                    1 Haziran    15 Temmuz
           Sığır Kuyruğu            1 Haziran    15 Ağustos
           Hardal Turp Otu,Haşhaş   1 Mayıs      1 Haziran
           Ayçiçek                  01 Temmuz    30 Temmuz
           Erik                     15 Mart      15 Nisan
           Badem                    10 Mart      10 Nisan
           Vişne,Kiraz              10 Nisan     10 Mayıs
           Kekik                    05 Haziran   20 Haziran
           Ballıbaba                10 Nisan     20 Ağustos
Dinar
           Böğürlern                20 Temmuz    20 Ağustos
           Hardal Turp Otu          30 Nisan     30 Haziran
           Haşhaş                   20 Nisan     20 Mayıs
           Ayçiçeği                 15 Haziran   5 Temmuz
           Ihlamur                  15 Nisan     15 Haziran
           Badem                    15 Mart      15 Nisan
           Elma                     20 Nisan     10 Mayıs
Emirdağ
           Ahlat                    20 Nisan     20 Mayıs
           Kekik                    15 Haziran   30 Haziran
            Geven              01 Temmuz    30 Haziran
            Ballıbaba          15 Nisan     15 Mayıs
            Sığır Kuyruğu      15 Temmuz    15 Ağustos
            İt Burnu           20 Temmuz    10 Ağustos
            Haşhaş             15 Mayıs     15 Haziran
            Ayçiçeği           01 Temmuz    20 Temmuz
            Akasya             01 Mayıs     01 Haziran
            Ayçiçek (Yağlık)   10 Haziran   25 Temmuz
Evciler     Kekik,Lavanta      15 Haziran   30 Haziran
