                                KARAMAN
Merkez- İlçe                             Çiçeklenme         Çiçeklenme
               Majör(yaygın) Bitki Adı
Adı                                      Başlangıç Tarihi   Bitiş Tarihi
               Elma                      15 Nisan           20 Mayıs
               Kiraz                     10 Nisan           20 Nisan
               Badem                     15 Mart            10 Nisan
               Armut                     20 Nisan           15 Mayıs
               Şeftali                   25 Mart            15 Nisan
               Erik                      20 Mart            15 Nisan
               Kayısı                    15 Mart            10 Nisan
               Ayva                      05 Mayıs           30 Mayıs
               Geven                     10 Ağustos         25 Ağustos
Merkez         Dağ Kekiği                10 Ağustos         30 Ağustos
               Adaçayı                   20 Haziran         30 Temmuz
               Acıyavşan, Eşek Kekiği    10 Haziran         15 Temmuz
               Sığır Kuyruğu             10 Haziran         10 Temmuz
               Şalba Türleri             15 Nisan           15 Mayıs
               Pembe Sarmaşık (Hevenk)   1 Mayıs            20 Mayıs
               Yağlık Ayçiçeği           5 Temmuz           25 Temmuz
               Tohumluk Ayçiçeği         25 Temmuz          10 Ağustos
               Kuş Fiği                  20 Haziran         20 Temmuz
               Tırfır                    15 Haziran         15 Temmuz
               Elma                      15 Nisan           20 Mayıs
               Kiraz                     10 Nisan           20 Nisan
               Geven                     10 Ağustos         25 Ağustos
               Dağ Kekiği                10 Ağustos         30 Ağustos
               Adaçayı                   20 Haziran         30 Temmuz
Ayrancı        Acıyavşan                 10 Haziran         15 Temmuz
               Sığır Kuyruğu             10 Haziran         10 Temmuz
               Şalba Türleri             15 Nisan           15 Mayıs
               Pembe Sarmaşık (Hevenk)   1 Mayıs            20 Mayıs
               Eşek Kekiği               10 Haziran         25 Temmuz
               Kuş Fiği                  20 Haziran         20 Temmuz
               Elma, Kiraz               1 Nisan            15 Mayıs
               Kekik                     1 Mayıs            1 Ağustos
               Geven                     15 Haziran         15 Eylül
               Lavanta                   15 Mayıs           1 Eylül
Başyayla       Erik                      10 Mart            30 Nisan
               Badem                     20 Mart            15 Mayıs
               Mısır                     1 Temmuz           1 Eylül
               Korunga                   15 Haziran         1 Eylül
               Adaçayı                   20 Haziran         30 Temmuz
               Acıyavşan                 10 Haziran   15 Temmuz
               Sığır Kuyruğu             10 Haziran   10 Temmuz
               Şalba Türleri             15 Nisan     15 Mayıs
               Pembe Sarmaşık (Hevenk)   1 Mayıs      20 Mayıs
               Eşek Kekiği               10 Haziran   25 Temmuz
               Kuş Fiği                  20 Haziran   20 Temmuz
               Elma, Armut               10 Nisan     20 Mayıs
               Kiraz                     1 Nisan      20 Nisan
               Geven                     10 Ağustos   25 Ağustos
               Badem                     20 Nisan     1 Mayıs
               Alıç                      20 Nisan     10 Mayıs
               İğde                      15 Nisan     1 Mayıs
               Lavanta                   1 Nisan      20 Haziran
               Şeftali                   15 Nisan     10 Mayıs
               Erik                      10 Nisan     20 Mayıs
Ermenek        Kuşburnu                  20 Mayıs     1 Temmuz
               Böğürtlen                 15 Mayıs     20 Haziran
               Dağ Kekiği                1 Nisan      30 Ağustos
               Adaçayı                   20 Haziran   30 Temmuz
               Acıyavşan                 10 Haziran   15 Temmuz
               Sığır Kuyruğu             10 Haziran   10 Temmuz
               Şalba Türleri             15 Nisan     15 Mayıs
               Pembe Sarmaşık (Hevenk)   1 Mayıs      20 Mayıs
               Eşek Kekiği               10 Haziran   25 Temmuz
               Kuş Fiği                  20 Haziran   20 Temmuz
               Elma                      1 Nisan      20 Mayıs
               Kiraz                     10 Nisan     20 Nisan
               Geven                     15 Nisan     25 Ağustos
               Gökbaş, Deve Dikeni,
               Sirken                    15 Nisan     30 Temmuz
               Gelincik                  15 Nisan     1 Haziran
               Lavanta                   1 Mayıs      30 Temmuz
               Yabani Hardal             1 Mayıs      30 Haziran
               Kabak                     15 Mayıs     15 Haziran
Kazımkarabekir
               Papatya                   15 Mayıs     30 Haziran
               Yabani Üçgül              15 Mayıs     30 Temmuz
               Dağ Kekiği                10 Ağustos   30 Ağustos
               Adaçayı                   20 Haziran   30 Temmuz
               Acıyavşan, Eşek Kekiği    10 Haziran   15 Temmuz
               Sığır Kuyruğu             10 Haziran   10 Temmuz
               Şalba Türleri             15 Nisan     15 Mayıs
               Pembe Sarmaşık (Hevenk)   1 Mayıs      20 Mayıs
               Yağlık Ayçiçeği           1 Haziran    25 Temmuz
              Tohumluk Ayçiçeği           20 Haziran   10 Ağustos
              Kuş Fiği                    20 Haziran   20 Temmuz
              Elma                        15 Nisan     20 Mayıs
              Kiraz                       10 Nisan     20 Nisan
              Geven                       10 Ağustos   25 Ağustos
              Dağ Kekiği                  10 Ağustos   30 Ağustos
              Adaçayı                     20 Haziran   30 Temmuz
              Acıyavşan, Eşek Kekiği      10 Haziran   15 Temmuz
              Sığır Kuyruğu, Devedikeni   10 Haziran   10 Temmuz
              Şalba Türleri               15 Nisan     15 Mayıs
              Pembe Sarmaşık (Hevenk)     1 Mayıs      20 Mayıs
              Kuş Fiği                    20 Haziran   20 Temmuz
              Armut                       20 Nisan     25 Temmuz
Sarıveliler   Nar, Kuşburnu               10 Nisan     10 Mayıs
              Zeytin                      6 Haziran    6 Temmuz
              İncir                       15 Mayıs     30 Haziran
              Kızılcık                    1 Mayıs      30 Haziran
              Şeftali                     15 Mart      15 Nisan
              Kantaron                    1 Haziran    16 Temmuz
              Fesleğen                    25 Mayıs     21 Temmuz
              Kenger                      6 Haziran    29 Temmuz
              Kardelen                    26 Şubat     26 Mart
              Isırgan Otu                 10 Nisan     25 Haziran
              Kırmızı Üçgül               10 Mayıs     10 Haziran
              Dağ Çayı                    5 Haziran    50 Temmuz

