İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Kayseri,Akkışla,Alıç,15 Haziran,15 Temmuz
Kayseri,Akkışla,Yemişen,15 Haziran,15 Temmuz
Kayseri,Akkışla,Kuşburnu,15 Haziran,15 Temmuz
Kayseri,Akkışla,İtburnu,15 Haziran,15 Temmuz
Kayseri,Akkışla,Yabani Gül,15 Haziran,15 Temmuz
Kayseri,Akkışla,Altınbaşak,15 Temmuz,15 Eylül
Kayseri,Akkışla,Ballıbaba,15 Mart,15 Haziran
Kayseri,Akkışla,Çalba,15 Haziran,15 Ağustos
Kayseri,Akkışla,Şalba,15 Haziran,15 Ağustos
Kayseri,Akkışla,Balıkotu,15 Haziran,15 Ağustos
Kayseri,Akkışla,Alevdudak,15 Haziran,15 Ağustos
Kayseri,Akkışla,Çobançırası,15 Haziran,15 Ağustos
Kayseri,Akkışla,Zerdalidikeni,15 Haziran,15 Ağustos
Kayseri,Akkışla,Güneşçiçeği,15 Haziran,15 Ağustos
Kayseri,Akkışla,Yakıotu,15 Haziran,15 Ağustos
Kayseri,Akkışla,Meragülü,15 Haziran,15 Ağustos
Kayseri,Akkışla,Kırmızı Hevhulma,15 Haziran,15 Ağustos
Kayseri,Akkışla,Aklarotu,15 Haziran,15 Ağustos
Kayseri,Akkışla,Dağ Karanfili,15 Haziran,15 Eylül
Kayseri,Akkışla,Ölmez Otu,15 Haziran,15 Eylül
Kayseri,Akkışla,Mayası Lotu,15 Haziran,15 Eylül
Kayseri,Akkışla,Beyaz Ot,15 Haziran,15 Eylül
Kayseri,Akkışla,Ak Sedaf Otu,15 Haziran,15 Eylül
Kayseri,Akkışla,Meryem Otu,15 Haziran,15 Eylül
Kayseri,Akkışla,Basur Otu,15 Haziran,15 Eylül
Kayseri,Akkışla,Acı Ot,15 Haziran,15 Eylül
Kayseri,Akkışla,Yavşan,15 Haziran,15 Eylül
Kayseri,Akkışla,Sütleğen,15 Haziran,15 Eylül
Kayseri,Akkışla,Elma,15 Nisan,15 Mayıs
Kayseri,Akkışla,Karahindiba,15 Nisan,15 Mayıs
Kayseri,Akkışla,Aslandişi,15 Nisan,15 Mayıs
Kayseri,Akkışla,"Köpek Marulu), Ahlat, Söğüt",15 Nisan,15 Mayıs
Kayseri,Akkışla,Fiğ,15 Nisan,15 Ağustos
Kayseri,Akkışla,Keven,15 Nisan,15 Ağustos
Kayseri,Akkışla,Geven,15 Nisan,15 Ağustos
Kayseri,Akkışla,İğde,15 Nisan,15 Haziran
Kayseri,Akkışla,Korunga,15 Nisan,15 Haziran
Kayseri,Akkışla,Katırtırınağı,15 Mayıs,15 Haziran
Kayseri,Akkışla,Kekik,15 Mayıs,15 Eylül
Kayseri,Akkışla,Peygamber Çiçeği,15 Mayıs,15 Eylül
Kayseri,Akkışla,Gelin Düğmesi,15 Mayıs,15 Eylül
Kayseri,Akkışla,Sarı Papatya,15 Temmuz,15 Temmuz
Kayseri,Akkışla,Köpek Papatyası,15 Temmuz,15 Temmuz
Kayseri,Akkışla,Siğilotu,15 Haziran,15 Ekim
Kayseri,Akkışla,Tırfıl,15 Nisan,15 Eylül
Kayseri,Akkışla,Mecümek,15 Nisan,15 Eylül
Kayseri,Akkışla,Üçgül,15 Mart,15 Eylül
Kayseri,Akkışla,Yonca,15 Mart,15 Eylül
Kayseri,Bünyan,Kangal,1 Nisan,30 Ağustos
Kayseri,Bünyan,Devedikeni,1 Nisan,30 Ağustos
