il,ilce,mahalle,lat,lon,silme_nedeni
ADANA,ALADAĞ,MANSURLU,36.2206931,36.2316563,il_disi_duzeltilemedi
ADANA,ALADAĞ,SİNANPAŞA,38.7451878,30.2452121,il_disi_duzeltilemedi
ADANA,CEYHAN,ÇATALHÜYÜK,37.7958567,32.5311842,il_disi_duzeltilemedi
ADANA,FEKE,KARACAOĞLAN,36.6671607,33.7324627,il_disi_duzeltilemedi
ADANA,FEKE,İSLAM,37.2033123,36.5805037,il_disi_duzeltilemedi
ADANA,KARATAŞ,SARIMSAK,41.6507347,35.1237439,il_disi_duzeltilemedi
ADANA,KOZAN,AKKAYA,40.872227,34.6295273,il_disi_duzeltilemedi
ADANA,KOZAN,HAMAM,36.6434047,33.3761277,il_disi_duzeltilemedi
ADANA,KOZAN,KEMERKÖY,41.13377,40.768658,il_disi_duzeltilemedi
ADANA,SARIÇAM,ERTUĞRULGAZİ,40.0972951,29.5192766,il_disi_duzeltilemedi
ADANA,SARIÇAM,SULUCA,39.3040807,42.7526737,il_disi_duzeltilemedi
ADANA,SAİMBEYLİ,FATİH,41.0192846,28.9479296,il_disi_duzeltilemedi
ADANA,SAİMBEYLİ,NARLIDERE,40.2407621,29.2981692,il_disi_duzeltilemedi
ADANA,SAİMBEYLİ,YEŞİLBAĞLAR,40.778122,42.123341,il_disi_duzeltilemedi
ADANA,SAİMBEYLİ,İSLAM,37.2033123,36.5805037,il_disi_duzeltilemedi
ADANA,SEYHAN,YENİ ,36.2672587,32.3262561,il_disi_duzeltilemedi
ADANA,YÜREĞİR,GAZİPAŞA,36.2682712,32.3175066,il_disi_duzeltilemedi
ADIYAMAN,BESNİ,DUMLUPINAR,38.8543635,29.9776411,il_disi_duzeltilemedi
ADIYAMAN,BESNİ,KORUPINAR,41.9325012,33.7223208,il_disi_duzeltilemedi
ADIYAMAN,BESNİ,ÇAT,39.6119487,40.9774206,il_disi_duzeltilemedi
ADIYAMAN,GERGER,FATİH,41.0192846,28.9479296,il_disi_duzeltilemedi
ADIYAMAN,GERGER,MERKEZ,40.0371641,32.8970859,il_disi_duzeltilemedi
ADIYAMAN,GERGER,YENİ,36.2672587,32.3262561,il_disi_duzeltilemedi
ADIYAMAN,GÖLBAŞI,ASFALT,38.195656,27.8893873,il_disi_duzeltilemedi
ADIYAMAN,GÖLBAŞI,CUMHURİYET,41.0171118,28.8529333,il_disi_duzeltilemedi
ADIYAMAN,GÖLBAŞI,FATİH,41.0192846,28.9479296,il_disi_duzeltilemedi
ADIYAMAN,GÖLBAŞI,HÜRRİYET,40.9026067,29.2306579,il_disi_duzeltilemedi
ADIYAMAN,GÖLBAŞI,MİMAR SİNAN,38.6997541,27.0311673,il_disi_duzeltilemedi
ADIYAMAN,GÖLBAŞI,YAVUZ SELİM,37.797042,38.6103388,ilce_disi_duzeltilemedi
ADIYAMAN,GÖLBAŞI,YENİ,36.2672587,32.3262561,il_disi_duzeltilemedi
ADIYAMAN,GÖLBAŞI,YENİKENT,38.8692104,29.2872268,il_disi_duzeltilemedi
ADIYAMAN,KAHTA,ABDULLAH BEY (ARILI KÖYÜ),41.01215370414999,29.079457467661346,il_disi_duzeltilemedi
ADIYAMAN,KAHTA,ACOĞLU (GELDİBULDU KÖYÜ),41.422667399999995,32.18144949999999,il_disi_duzeltilemedi
ADIYAMAN,KAHTA,AKDAMAR (BOZPINAR KÖYÜ),37.622883,38.47776799999999,ilce_disi_duzeltilemedi
ADIYAMAN,KAHTA,AKINCILAR ATATÜRK (AKINCILAR BELDESİ),38.94342509999999,29.1341781,il_disi_duzeltilemedi
