il,ilce,mahalle,lat,lon
ADANA,ALADAĞ,AKPINAR,37.5242457,35.402761
ADANA,ALADAĞ,AKÖREN,37.454864,35.447315
ADANA,ALADAĞ,BAŞPINAR,37.521345,35.391477
ADANA,ALADAĞ,BOZTAHTA,37.36887,35.4600637
ADANA,ALADAĞ,BÜYÜKSOFULU,37.5614217,35.1968831
ADANA,ALADAĞ,CERİTLER,37.4862525,35.3498496
ADANA,ALADAĞ,DARILIK,37.5855462,35.4483094
ADANA,ALADAĞ,DÖLEKLİ,37.5879992,35.3039684
ADANA,ALADAĞ,EBRİŞİM,37.5194195,35.3372299
ADANA,ALADAĞ,EĞNER,37.42237,35.4446083
ADANA,ALADAĞ,GERDİBİ,37.5113932,35.1555635
ADANA,ALADAĞ,KABASAKAL,37.5584074,35.3410555
ADANA,ALADAĞ,KARAHAN,37.59519,35.5205304
ADANA,ALADAĞ,KICAK,37.5661489,35.2222017
ADANA,ALADAĞ,KIZILDAM,37.536007,35.471375
ADANA,ALADAĞ,KIŞLAK,37.6032374,35.5308443
ADANA,ALADAĞ,KÖKEZ,37.5831272,35.2826024
ADANA,ALADAĞ,KÖPRÜCÜK,37.6598068,35.544246
ADANA,ALADAĞ,KÜP,37.6858418,35.493976
ADANA,ALADAĞ,MADENLİ,37.4485187,35.3206143
ADANA,ALADAĞ,MAZILIK,37.487454,35.456558
ADANA,ALADAĞ,POSYAĞBASAN,37.4914287,35.2432592
ADANA,ALADAĞ,TOPALLI,37.3407709,35.4614104
ADANA,ALADAĞ,UZUNKUYU,37.489471,35.471001
ADANA,ALADAĞ,YETİMLİ,37.6060502,35.3293444
ADANA,ALADAĞ,YÜKSEKÖREN,37.396771,35.398445
ADANA,CEYHAN,ADAPINAR,37.1396878,35.844954
ADANA,CEYHAN,ADATEPE,37.0274968,35.8874336
ADANA,CEYHAN,AKDAM,37.236393,35.8614647
ADANA,CEYHAN,ALTIGÖZBEKİRLİ,37.121143,35.990715
ADANA,CEYHAN,ALTIKARA,37.0023839,35.7140821
ADANA,CEYHAN,ALTIOCAK,37.0479264,35.8166872
ADANA,CEYHAN,AYDEMİROĞLU,37.0330628,35.8153308
ADANA,CEYHAN,AYDINLAR,36.9775855,35.9116017
ADANA,CEYHAN,AZİZLİ,37.0545749,36.022784
ADANA,CEYHAN,AĞAÇLI,37.23177,35.8933597
ADANA,CEYHAN,AĞAÇPINAR,36.9712777,35.7340871
ADANA,CEYHAN,BAŞÖREN,37.154854,35.601646
ADANA,CEYHAN,BELEDİYE EVLERİ,37.048301,35.8058431
ADANA,CEYHAN,BOTA,37.0383318,35.8103022
ADANA,CEYHAN,BURHANLI,37.15518,36.0666709
ADANA,CEYHAN,BURHANİYE,37.0223033,35.8179679
ADANA,CEYHAN,BÜYÜKBURHANİYE,37.0547833,35.6900632
ADANA,CEYHAN,BÜYÜKKIRIM,37.0233561,35.8120659
ADANA,CEYHAN,BÜYÜKMANGIT,37.0386154,35.7675863
ADANA,CEYHAN,BİRKENT,37.2047674,36.043321
ADANA,CEYHAN,CAMUZAĞILI,37.2562578,35.8072697
ADANA,CEYHAN,CEYHANBEKİRLİ,37.201469,35.956886
ADANA,CEYHAN,CİVANTAYAK,37.0346512,35.8119415
ADANA,CEYHAN,DAĞISTAN,37.1055849,35.9830945
ADANA,CEYHAN,DEĞİRMENDERE,37.005287,35.91436
ADANA,CEYHAN,DEĞİRMENLİ,37.1014202,35.9872437
ADANA,CEYHAN,DOKUZTEKNE,37.0081616,35.98034
ADANA,CEYHAN,DORUK,36.8787462,35.7616862
ADANA,CEYHAN,DURHASANDEDE,36.881096,35.737686
ADANA,CEYHAN,DUTLUPINAR,37.027397,36.0168297
ADANA,CEYHAN,DİKİLİTAŞ,37.184849,35.913807
ADANA,CEYHAN,EKİNYAZI,37.168911,35.8664997
ADANA,CEYHAN,ELMAGÖLÜ,37.163578,35.902985
ADANA,CEYHAN,EMEK,37.0405565,35.8318717
ADANA,CEYHAN,ERENLER,37.006146,35.926601
ADANA,CEYHAN,ESENTEPE,37.0491959,35.8383241
ADANA,CEYHAN,FATİH SULTAN MEHMET,37.0399403,35.8225172
ADANA,CEYHAN,GAZİ OSMAN PAŞA,37.0127945,35.8133115
ADANA,CEYHAN,GÜMÜRDÜLÜ,37.2082941,35.6664641
ADANA,CEYHAN,GÜNDOĞAN,36.8919455,35.6700645
ADANA,CEYHAN,GÜNLÜCE,37.1807882,36.0663402
ADANA,CEYHAN,HAMDİLLİ,37.033039,35.926212
ADANA,CEYHAN,HAMİDİYE,36.991611,35.994938
ADANA,CEYHAN,HAMİTBEY,37.1217668,35.8268876
ADANA,CEYHAN,HAMİTBEYBUCAĞI,37.1086776,35.8180401
ADANA,CEYHAN,HÜRRİYET,37.0311062,35.8223238
ADANA,CEYHAN,IRMAKLI,37.2149065,35.9788169
ADANA,CEYHAN,ISIRGANLI,37.099197,35.6698447
ADANA,CEYHAN,KARAKAYALI,37.1312865,35.8895885
ADANA,CEYHAN,KELEMETİ,37.0247514,35.7887177
ADANA,CEYHAN,KILIÇKAYA,36.878048,35.706146
ADANA,CEYHAN,KIVRIKLI,37.080877,35.7229705
ADANA,CEYHAN,KIZILDERE,36.946152,35.682026
ADANA,CEYHAN,KONAKOĞLU,37.0279332,35.812806
ADANA,CEYHAN,KORUKLU,37.053796,35.8099034
